age,income,loan_amount,loan_tenure_months,avg_dpd_per_delinquency,delinquency_ratio,credit_utilization_ratio,num_open_accounts,residence_type,loan_purpose,loan_type,default
38,21090.68,12159.87,12,13.7,0.0353,0.4134,6,Rented,Home,Unsecured,1
52,4282.86,17996.87,6,16.5,0.0507,0.2112,6,Mortgage,Education,Unsecured,0
31,18891.3,9984.23,24,7.3,0.1537,0.243,3,Mortgage,Home,Unsecured,0
40,10503.37,17765.75,6,35.9,0.0995,0.1489,2,Rented,Personal,Secured,0
44,27342.93,5291.8,36,3.9,0.23,0.3131,7,Mortgage,Personal,Secured,0
35,10374.29,14999.38,60,14.4,0.0689,0.0737,7,Rented,Personal,Unsecured,0
27,25961.77,11458.64,18,35.4,0.0234,0.6194,7,Rented,Education,Unsecured,0
41,17907.74,18774.34,60,0.8,0.0123,0.4297,6,Owned,Personal,Unsecured,0
62,3369.9,9938.03,18,11.3,0.067,0.1777,4,Rented,Auto,Secured,0
46,10989.86,6737.07,6,2.0,0.1462,0.0738,3,Mortgage,Education,Secured,0
64,24782.41,14533.41,18,2.0,0.1666,0.5764,5,Rented,Auto,Unsecured,0
34,24328.07,20235.93,6,3.6,0.0348,0.0963,6,Rented,Personal,Secured,0
57,7605.19,13180.9,6,15.9,0.0467,0.5135,6,Rented,Auto,Secured,0
41,30502.85,11789.5,24,11.7,0.0807,0.1975,7,Owned,Education,Unsecured,1
38,17803.49,5925.21,60,15.5,0.0585,0.0971,3,Rented,Personal,Unsecured,1
25,25078.77,16734.52,6,0.1,0.1065,0.1923,3,Owned,Personal,Secured,0
23,8305.27,11741.97,18,3.0,0.0048,0.1594,3,Rented,Auto,Unsecured,0
43,14352.41,15504.05,36,7.4,0.1874,0.2255,5,Rented,Personal,Unsecured,0
46,21327.23,12986.13,12,8.0,0.104,0.4843,6,Rented,Personal,Unsecured,0
57,15494.69,22200.04,18,9.3,0.1925,0.1106,3,Owned,Personal,Secured,0
44,3000.0,9212.92,36,6.1,0.2076,0.1894,4,Rented,Personal,Secured,0
39,16473.74,9395.85,18,5.8,0.0957,0.5263,5,Rented,Personal,Unsecured,0
45,3000.0,17067.1,36,26.0,0.0056,0.5541,4,Owned,Home,Unsecured,1
41,9434.46,17189.76,18,11.3,0.3749,0.2542,7,Owned,Home,Secured,1
32,6777.06,17348.04,12,8.8,0.1468,0.213,4,Rented,Education,Secured,1
61,27060.44,11936.64,24,0.7,0.1089,0.0779,4,Rented,Personal,Unsecured,0
53,29570.84,13038.29,24,14.4,0.0585,0.4211,5,Mortgage,Personal,Unsecured,0
24,20732.51,5263.23,12,15.5,0.1681,0.3994,2,Owned,Personal,Secured,0
62,16159.45,11195.66,18,59.4,0.0914,0.4044,5,Rented,Education,Unsecured,0
27,18226.71,13383.98,60,2.4,0.0704,0.1971,3,Rented,Personal,Unsecured,0
42,27054.84,13386.68,36,9.7,0.106,0.2026,6,Owned,Education,Secured,0
53,3000.0,8211.3,6,5.8,0.0053,0.2553,4,Owned,Personal,Secured,0
37,9399.18,6503.28,18,9.3,0.0322,0.1321,3,Owned,Education,Unsecured,0
44,26032.34,17220.96,12,11.6,0.002,0.2077,4,Owned,Home,Secured,1
54,27698.17,16436.76,48,12.9,0.2369,0.4967,4,Owned,Personal,Unsecured,0
48,22717.77,10838.65,24,3.9,0.029,0.0454,6,Rented,Education,Unsecured,0
63,9640.23,17162.34,24,12.8,0.0752,0.2666,3,Rented,Home,Unsecured,0
61,25916.39,16697.39,18,2.5,0.2199,0.0716,1,Owned,Education,Secured,0
59,28891.46,3608.05,36,0.0,0.3002,0.4895,4,Rented,Education,Unsecured,0
42,23746.0,11480.44,60,25.6,0.1774,0.3356,6,Mortgage,Personal,Unsecured,0
37,3000.0,18693.26,60,20.7,0.0822,0.3557,1,Owned,Home,Unsecured,0
54,18996.76,4048.74,12,10.9,0.0915,0.1811,5,Mortgage,Personal,Unsecured,0
26,22681.92,4746.45,12,15.7,0.0448,0.3697,4,Rented,Personal,Unsecured,0
26,13875.06,15133.08,36,5.3,0.0319,0.147,7,Mortgage,Personal,Secured,0
54,19493.42,18461.72,36,1.2,0.0101,0.1358,4,Owned,Personal,Unsecured,0
21,13892.33,10600.45,60,11.1,0.0716,0.3137,6,Owned,Personal,Unsecured,0
30,11107.25,9653.01,18,12.5,0.049,0.162,5,Owned,Home,Unsecured,1
41,30084.73,3504.44,60,20.0,0.0776,0.2249,3,Rented,Home,Unsecured,0
25,19720.55,10508.54,18,3.5,0.2127,0.1021,3,Rented,Education,Secured,0
22,9152.16,4640.19,48,17.0,0.2009,0.5718,1,Rented,Home,Secured,0
42,6987.2,10226.77,24,16.7,0.0505,0.05,5,Owned,Education,Unsecured,0
22,11112.14,18553.88,24,1.4,0.0051,0.3521,4,Mortgage,Personal,Secured,0
30,11155.41,5527.77,36,2.1,0.0494,0.4897,1,Rented,Personal,Unsecured,0
54,19172.24,10738.56,6,2.8,0.2045,0.3166,3,Owned,Auto,Secured,0
36,21884.45,16304.96,6,7.0,0.0737,0.223,4,Owned,Home,Secured,0
59,21875.89,8118.83,6,1.8,0.0096,0.2064,6,Mortgage,Personal,Unsecured,0
42,11999.1,14039.47,12,2.4,0.2723,0.2793,3,Owned,Personal,Secured,0
32,25365.05,16050.97,18,2.5,0.0125,0.3622,1,Owned,Personal,Secured,0
44,27822.75,12392.11,36,1.7,0.1199,0.1561,3,Mortgage,Auto,Unsecured,0
60,15920.29,12494.76,24,0.7,0.0427,0.23,6,Mortgage,Education,Unsecured,0
58,9743.43,6510.24,6,2.8,0.108,0.5624,7,Owned,Home,Unsecured,0
30,18802.26,10003.69,24,5.0,0.0332,0.2336,7,Owned,Auto,Unsecured,0
55,35280.61,12810.96,18,10.1,0.1358,0.146,3,Mortgage,Home,Secured,0
52,9533.62,2492.16,48,0.6,0.0133,0.102,7,Owned,Education,Unsecured,0
27,13790.69,1000.0,48,3.0,0.1133,0.506,7,Owned,Home,Secured,0
41,18459.47,11234.03,36,5.0,0.0499,0.3494,5,Owned,Home,Unsecured,0
40,22333.31,13894.07,6,4.9,0.4144,0.4796,6,Rented,Personal,Unsecured,1
46,3000.0,12440.55,6,21.0,0.0306,0.2908,1,Mortgage,Education,Secured,0
24,28447.1,3894.15,48,1.4,0.0709,0.1986,7,Rented,Personal,Unsecured,0
42,28338.34,17517.73,36,1.4,0.149,0.2754,4,Rented,Education,Unsecured,0
35,14601.65,12517.71,24,1.1,0.1691,0.0879,3,Owned,Personal,Unsecured,0
60,39652.95,16853.47,18,5.7,0.0057,0.0489,3,Rented,Personal,Unsecured,0
41,27821.64,8806.74,48,0.3,0.0544,0.2199,2,Rented,Auto,Secured,0
35,27395.6,13325.04,48,0.5,0.0327,0.4521,1,Mortgage,Home,Unsecured,0
42,27500.43,14601.94,18,46.5,0.0334,0.3927,1,Rented,Personal,Secured,0
48,27269.73,17022.61,18,3.7,0.0344,0.4617,4,Rented,Auto,Secured,0
34,17824.72,16599.88,48,8.1,0.0378,0.1576,7,Rented,Home,Unsecured,1
47,17032.32,7999.8,24,1.0,0.2738,0.3449,5,Mortgage,Personal,Unsecured,0
61,10451.44,11421.1,24,6.0,0.0464,0.181,4,Rented,Personal,Unsecured,0
60,13381.03,9383.95,6,5.9,0.18,0.419,6,Rented,Home,Secured,0
48,15512.82,12714.81,24,14.9,0.1223,0.4759,1,Rented,Personal,Secured,0
46,18523.68,4812.18,12,20.8,0.2457,0.324,3,Rented,Auto,Unsecured,0
22,30786.37,4050.48,36,4.3,0.0684,0.3302,5,Mortgage,Personal,Unsecured,0
45,3000.0,23928.22,24,1.5,0.1456,0.3665,5,Mortgage,Personal,Unsecured,0
23,28759.47,21676.73,18,2.7,0.1586,0.439,1,Owned,Personal,Unsecured,0
28,9904.99,17829.56,24,4.7,0.0953,0.1005,1,Owned,Personal,Unsecured,0
64,17163.84,14421.11,6,1.4,0.0966,0.4419,4,Owned,Home,Secured,0
53,12204.82,15877.33,60,1.5,0.1084,0.1156,2,Rented,Auto,Unsecured,0
62,32834.22,15890.92,36,1.4,0.0458,0.3435,7,Rented,Personal,Unsecured,0
55,14000.34,20273.44,36,2.2,0.0712,0.2187,1,Owned,Personal,Secured,0
26,22171.58,9537.44,18,3.7,0.0587,0.4543,1,Owned,Education,Secured,0
59,22586.13,8211.88,36,11.0,0.3189,0.2228,4,Mortgage,Personal,Unsecured,0
43,8719.95,11924.03,12,6.4,0.2679,0.3305,1,Rented,Home,Secured,0
45,17225.84,14977.62,36,8.2,0.1111,0.252,6,Mortgage,Personal,Unsecured,0
63,27634.61,10725.79,48,7.9,0.1668,0.268,7,Mortgage,Personal,Secured,0
39,11014.12,9236.81,18,34.2,0.0504,0.3086,4,Owned,Personal,Secured,1
25,24631.72,19186.18,36,7.4,0.1703,0.3558,6,Rented,Personal,Secured,0
31,15351.36,7814.58,24,8.7,0.3808,0.1699,7,Owned,Home,Unsecured,0
32,27309.23,19343.28,6,14.6,0.0376,0.2551,1,Owned,Personal,Unsecured,0
30,31979.98,16815.85,48,10.3,0.557,0.1653,3,Rented,Personal,Unsecured,1
28,3000.0,21559.76,48,1.2,0.1214,0.1283,7,Rented,Home,Secured,0
44,7294.92,22915.52,24,0.7,0.2412,0.5299,7,Rented,Education,Unsecured,0
48,14491.92,13851.17,60,0.6,0.1436,0.1284,1,Rented,Education,Unsecured,0
61,29723.4,22392.39,48,4.6,0.0352,0.1014,2,Owned,Personal,Unsecured,0
56,22259.73,14526.17,12,2.7,0.2126,0.1733,5,Mortgage,Personal,Secured,0
57,8041.99,13980.83,12,19.8,0.0562,0.5341,4,Rented,Education,Secured,0
41,23431.36,12969.01,6,22.4,0.0127,0.3161,2,Owned,Home,Unsecured,0
28,10690.12,9827.85,6,5.9,0.249,0.3595,6,Rented,Education,Secured,0
29,24964.26,15798.36,6,7.2,0.0339,0.5951,4,Rented,Personal,Unsecured,0
35,22311.72,17753.06,6,2.1,0.0242,0.1145,2,Owned,Personal,Unsecured,0
60,10655.11,5008.18,36,0.8,0.007,0.4872,4,Owned,Education,Unsecured,0
38,17472.36,24799.21,48,3.1,0.0953,0.2496,6,Mortgage,Auto,Unsecured,0
62,27797.47,20122.54,24,2.9,0.0792,0.0807,4,Owned,Personal,Unsecured,0
40,3000.0,9089.05,12,8.8,0.1261,0.0543,6,Rented,Auto,Unsecured,0
26,20408.87,14811.72,36,3.7,0.0439,0.3729,5,Rented,Personal,Unsecured,0
32,9144.81,11784.1,6,1.7,0.0983,0.1265,1,Owned,Auto,Secured,0
22,17870.5,13664.2,18,26.0,0.2684,0.181,4,Rented,Home,Unsecured,0
27,21662.1,11320.33,18,0.5,0.0056,0.263,4,Rented,Home,Unsecured,0
36,34105.35,14615.79,24,10.5,0.0286,0.0252,6,Owned,Home,Secured,0
23,17789.62,6654.43,12,4.0,0.1631,0.2447,7,Rented,Personal,Secured,0
23,29724.21,22950.37,60,10.7,0.1105,0.0479,5,Owned,Personal,Unsecured,0
47,11276.01,7033.39,12,5.9,0.0015,0.0791,6,Rented,Home,Unsecured,1
63,14039.84,14761.92,24,37.6,0.0142,0.152,6,Rented,Personal,Unsecured,1
60,22696.47,8606.8,60,1.9,0.0309,0.1157,4,Mortgage,Home,Unsecured,0
58,19614.09,11218.79,6,1.7,0.3702,0.0322,4,Owned,Home,Unsecured,0
53,15372.65,14306.3,6,3.5,0.1751,0.126,3,Rented,Personal,Unsecured,0
48,15155.88,12489.0,48,2.8,0.0745,0.4306,3,Owned,Education,Unsecured,0
21,28666.36,12646.88,12,13.1,0.012,0.2961,6,Rented,Personal,Unsecured,0
28,15692.46,10159.85,12,7.1,0.1572,0.2885,3,Rented,Personal,Unsecured,0
57,9833.21,8542.36,12,5.8,0.0499,0.4023,5,Rented,Education,Secured,0
52,11161.0,15315.5,60,5.4,0.0261,0.5521,6,Rented,Home,Unsecured,0
63,23359.21,7728.58,6,8.9,0.0963,0.3096,4,Owned,Personal,Secured,0
57,36052.18,8751.9,18,49.9,0.0182,0.5637,5,Rented,Personal,Secured,1
24,13808.14,8810.57,24,10.1,0.0716,0.3752,6,Rented,Home,Unsecured,0
50,35189.0,10342.88,24,17.7,0.0207,0.158,5,Rented,Personal,Unsecured,0
26,17913.27,4898.71,36,9.8,0.0946,0.4767,2,Owned,Auto,Secured,0
39,15761.5,4975.57,36,17.5,0.0557,0.2354,1,Rented,Auto,Secured,0
52,10717.78,14715.31,18,7.7,0.0932,0.158,7,Owned,Personal,Unsecured,0
29,16415.89,14772.23,12,1.0,0.0497,0.1198,2,Rented,Auto,Unsecured,1
32,11950.87,13553.42,18,5.4,0.0684,0.6224,6,Rented,Personal,Secured,0
31,11308.95,18875.95,60,31.8,0.0112,0.3907,6,Mortgage,Home,Unsecured,0
36,4783.6,7588.91,60,14.9,0.0362,0.3323,6,Rented,Personal,Unsecured,0
21,32128.93,3373.59,36,11.5,0.0262,0.1999,1,Mortgage,Personal,Secured,0
41,26515.09,15926.54,48,1.7,0.0044,0.2295,2,Rented,Auto,Secured,0
50,20172.8,3265.04,36,0.9,0.1011,0.3491,7,Owned,Home,Secured,0
33,16847.87,11315.56,24,3.1,0.0067,0.4626,4,Rented,Home,Secured,0
54,17955.36,13391.02,60,13.5,0.0215,0.2747,5,Owned,Personal,Unsecured,0
24,11784.73,22303.96,18,10.7,0.0454,0.3483,2,Owned,Auto,Unsecured,0
48,8929.19,9266.65,6,0.7,0.1311,0.1621,2,Mortgage,Personal,Unsecured,0
58,23739.31,9634.67,36,0.7,0.0402,0.1529,4,Owned,Home,Secured,0
51,15902.22,15305.35,24,3.6,0.0357,0.2215,5,Rented,Personal,Unsecured,0
47,20605.89,15009.99,12,35.2,0.0405,0.246,1,Owned,Auto,Secured,0
25,4700.49,10283.01,18,1.6,0.1919,0.5236,2,Owned,Personal,Unsecured,0
45,15476.57,12925.76,36,5.3,0.1265,0.1634,1,Rented,Personal,Secured,0
23,8773.12,8314.93,6,9.9,0.367,0.2344,3,Rented,Home,Secured,0
53,21872.45,14233.33,36,8.6,0.0022,0.6457,6,Rented,Education,Secured,0
24,25962.22,4031.63,6,4.6,0.1288,0.1141,2,Owned,Personal,Unsecured,0
45,29677.6,26539.08,18,2.4,0.029,0.3746,5,Rented,Education,Unsecured,0
40,12968.16,15605.33,48,26.7,0.2115,0.0658,3,Mortgage,Personal,Secured,0
54,8976.81,6491.98,6,0.4,0.0745,0.4085,3,Owned,Education,Unsecured,0
46,14651.25,10660.42,6,1.2,0.015,0.3114,2,Rented,Education,Secured,0
25,12405.5,6734.19,24,1.1,0.1226,0.2267,7,Owned,Education,Unsecured,0
55,21449.87,7906.75,48,6.5,0.0921,0.4722,7,Rented,Home,Secured,0
48,6777.74,13058.33,18,11.9,0.0933,0.098,7,Mortgage,Personal,Secured,0
49,3964.84,18957.96,36,6.7,0.2726,0.3085,2,Rented,Auto,Secured,0
29,15228.41,11494.14,48,11.3,0.002,0.496,6,Mortgage,Home,Unsecured,0
58,23812.05,2547.76,12,17.9,0.1179,0.1098,3,Owned,Personal,Unsecured,1
26,9780.35,8930.5,18,0.3,0.144,0.3982,7,Owned,Personal,Unsecured,0
39,24792.91,9259.39,48,29.9,0.0302,0.371,2,Owned,Education,Secured,0
64,20922.7,12444.63,18,15.9,0.0176,0.4484,6,Rented,Home,Unsecured,0
31,30374.36,11295.02,12,2.2,0.3396,0.2004,5,Owned,Personal,Unsecured,1
22,11581.96,1002.13,36,9.0,0.0737,0.4497,5,Owned,Auto,Secured,0
64,5148.23,7375.29,60,6.5,0.0266,0.1806,3,Mortgage,Personal,Unsecured,1
64,22788.33,6462.55,24,4.1,0.1371,0.159,2,Owned,Home,Secured,0
29,20239.0,16487.15,48,25.2,0.0718,0.3582,6,Mortgage,Home,Unsecured,0
41,19619.98,10574.93,36,10.4,0.0106,0.2161,6,Owned,Auto,Unsecured,0
44,9617.38,2006.94,12,5.7,0.123,0.2459,3,Mortgage,Personal,Secured,0
54,24201.2,7658.0,36,15.0,0.0701,0.6011,5,Mortgage,Home,Secured,0
42,12932.59,17873.45,18,5.4,0.0332,0.4455,2,Owned,Home,Unsecured,0
23,19616.48,9004.37,24,38.3,0.0705,0.0066,6,Owned,Personal,Unsecured,1
32,14323.46,8603.15,6,9.0,0.1415,0.2466,5,Rented,Auto,Secured,0
48,20835.05,11148.51,48,1.0,0.1181,0.3731,6,Rented,Education,Unsecured,0
50,8438.96,13128.02,36,8.7,0.0208,0.0507,2,Mortgage,Education,Unsecured,0
46,21997.43,11286.39,6,10.7,0.164,0.3403,4,Mortgage,Auto,Unsecured,0
41,23260.71,17115.75,24,1.7,0.0686,0.333,5,Rented,Education,Secured,0
48,18927.83,11286.72,60,13.8,0.0252,0.1948,1,Owned,Home,Unsecured,0
46,31151.17,15371.32,6,11.3,0.0019,0.2022,6,Owned,Personal,Unsecured,0
53,19657.28,12983.44,36,0.7,0.0189,0.2916,6,Owned,Education,Secured,0
41,25350.03,5535.0,12,5.0,0.2732,0.2017,2,Rented,Home,Unsecured,0
55,18739.33,20926.5,48,29.3,0.0099,0.4123,4,Rented,Home,Unsecured,0
54,24635.19,17778.41,18,1.4,0.016,0.4429,4,Mortgage,Home,Secured,0
61,5733.57,9166.11,60,6.9,0.0326,0.2568,4,Rented,Education,Unsecured,0
38,18263.56,11444.37,18,15.1,0.1,0.3869,5,Rented,Auto,Secured,0
31,8984.52,15075.96,48,1.1,0.0143,0.0867,6,Owned,Education,Unsecured,0
43,19123.42,12900.14,6,16.9,0.0265,0.1219,1,Rented,Personal,Secured,0
42,21073.54,12535.29,18,8.0,0.2367,0.2451,4,Rented,Home,Unsecured,0
37,24459.98,14528.0,48,4.9,0.0418,0.0825,6,Rented,Education,Secured,0
25,21919.28,13767.32,48,1.1,0.1253,0.1147,3,Mortgage,Personal,Unsecured,0
64,15305.18,13790.08,18,5.4,0.187,0.4866,2,Rented,Auto,Unsecured,0
31,11971.24,12456.77,12,9.8,0.1831,0.0536,2,Rented,Personal,Unsecured,0
50,3000.0,15194.5,6,14.0,0.2139,0.1334,6,Owned,Home,Unsecured,0
35,18550.82,13048.43,12,6.3,0.4335,0.1832,7,Owned,Auto,Unsecured,0
47,27102.89,13174.06,12,6.9,0.2218,0.2661,1,Rented,Education,Unsecured,0
55,18867.15,18874.33,24,13.4,0.1349,0.3522,6,Rented,Education,Secured,0
53,17321.99,14167.23,6,5.0,0.0377,0.2289,1,Rented,Auto,Secured,0
40,19144.46,13652.76,60,1.2,0.0262,0.1023,5,Owned,Education,Unsecured,0
36,14898.32,7556.05,12,21.5,0.1457,0.1833,3,Rented,Auto,Unsecured,1
54,19559.74,7807.91,36,24.1,0.0024,0.1366,7,Rented,Education,Unsecured,0
22,14760.29,17708.52,18,4.9,0.1598,0.3299,2,Mortgage,Education,Unsecured,0
55,10808.95,14853.21,6,43.0,0.1585,0.2069,4,Owned,Education,Unsecured,1
60,17397.61,16587.81,24,5.0,0.1034,0.2469,4,Rented,Personal,Unsecured,1
48,17223.18,12988.35,12,13.7,0.0975,0.3904,2,Owned,Education,Unsecured,0
59,33001.36,13987.43,36,7.0,0.025,0.2344,3,Rented,Auto,Secured,0
26,11554.48,11271.25,18,35.3,0.0068,0.226,3,Rented,Home,Unsecured,0
29,16724.47,11866.37,18,25.4,0.1812,0.2079,6,Rented,Personal,Unsecured,0
40,15946.68,9916.09,60,13.8,0.0175,0.136,4,Owned,Personal,Secured,0
21,14418.54,18668.62,36,32.0,0.105,0.5091,2,Rented,Personal,Unsecured,1
28,22104.84,8440.96,6,1.4,0.0837,0.3622,4,Rented,Home,Unsecured,0
43,35903.7,13537.71,18,17.2,0.0701,0.4312,5,Rented,Home,Unsecured,0
23,15433.38,11216.8,18,4.0,0.1351,0.0424,2,Owned,Auto,Unsecured,0
24,22127.16,16759.04,18,15.9,0.1213,0.2195,3,Owned,Auto,Secured,0
45,3000.0,13138.2,48,16.0,0.0117,0.3762,4,Owned,Personal,Unsecured,0
58,14851.76,14307.5,12,11.9,0.265,0.1681,1,Mortgage,Education,Unsecured,0
35,30441.93,13037.89,12,5.2,0.0122,0.4286,1,Rented,Home,Unsecured,0
41,17560.16,7039.16,18,1.0,0.3903,0.4936,5,Rented,Personal,Secured,0
55,22018.72,14751.81,24,14.1,0.1374,0.2985,1,Mortgage,Auto,Unsecured,0
34,13017.99,11504.02,48,3.4,0.0845,0.3107,5,Owned,Personal,Secured,0
56,20060.46,8193.04,18,2.2,0.0511,0.1568,5,Rented,Auto,Secured,0
32,31062.21,4945.75,6,0.4,0.0109,0.1535,3,Rented,Home,Unsecured,1
37,8719.34,7913.63,60,18.5,0.2293,0.0692,3,Owned,Home,Unsecured,0
59,35492.34,15820.45,60,6.1,0.2194,0.0885,2,Owned,Education,Unsecured,0
29,5632.45,20809.37,48,6.9,0.032,0.2676,4,Rented,Home,Unsecured,0
55,14115.99,12591.98,24,8.8,0.086,0.1853,7,Mortgage,Auto,Unsecured,1
33,11312.66,7016.35,6,12.2,0.1,0.3317,7,Owned,Home,Unsecured,0
35,15820.31,14081.9,36,6.3,0.2001,0.4472,6,Rented,Auto,Unsecured,0
38,11208.78,17386.92,36,18.3,0.0461,0.4309,1,Owned,Education,Secured,1
53,10602.24,21606.17,12,11.3,0.1059,0.2877,4,Mortgage,Personal,Secured,0
26,8506.03,18320.58,48,14.8,0.0322,0.1116,7,Rented,Education,Unsecured,0
47,23152.43,13121.35,12,2.1,0.0388,0.2295,4,Owned,Home,Unsecured,0
43,16096.34,14875.39,12,19.7,0.0652,0.1561,7,Rented,Education,Unsecured,0
47,14003.92,8386.94,48,17.7,0.2942,0.1094,5,Rented,Education,Unsecured,0
54,20258.06,15984.75,60,14.3,0.0816,0.5404,1,Rented,Home,Secured,0
58,6042.92,16669.87,36,0.5,0.0678,0.4153,3,Owned,Auto,Secured,1
34,20450.98,1000.0,48,19.7,0.0313,0.3875,4,Owned,Home,Unsecured,0
56,17249.84,12713.39,6,5.5,0.0223,0.0436,5,Owned,Personal,Unsecured,0
28,17495.7,19450.44,24,26.3,0.0165,0.3403,3,Mortgage,Education,Unsecured,1
55,22153.33,8643.83,12,1.8,0.2413,0.385,5,Owned,Education,Secured,0
39,31148.19,1372.6,60,0.9,0.0864,0.4718,4,Rented,Personal,Secured,0
50,20583.8,11861.65,36,2.2,0.2199,0.3103,6,Rented,Education,Secured,0
34,16401.0,17380.21,12,0.2,0.1173,0.1164,4,Owned,Home,Secured,0
40,8538.84,14003.06,60,9.9,0.1097,0.235,4,Owned,Personal,Unsecured,1
45,3000.0,12134.69,18,0.4,0.0295,0.2417,7,Rented,Home,Secured,1
60,19023.07,7371.79,24,20.3,0.0326,0.3996,1,Rented,Personal,Unsecured,0
44,7922.93,6508.78,6,9.9,0.0001,0.4846,1,Rented,Personal,Unsecured,0
34,3000.0,12913.86,12,1.2,0.0,0.5084,6,Owned,Education,Unsecured,0
46,15193.04,11707.35,18,0.8,0.0867,0.2043,4,Mortgage,Personal,Unsecured,0
58,19915.85,16262.54,18,3.5,0.034,0.2777,1,Rented,Home,Secured,0
43,23954.43,14203.01,60,3.9,0.0268,0.3123,5,Owned,Home,Unsecured,0
42,26490.01,8284.68,24,1.5,0.0855,0.3989,5,Owned,Auto,Secured,0
39,25005.7,13280.66,36,1.9,0.1849,0.3344,7,Rented,Education,Secured,0
23,25220.6,12452.11,36,11.2,0.2484,0.0524,6,Mortgage,Personal,Secured,0
62,6255.44,3679.41,12,6.6,0.0859,0.2592,6,Mortgage,Auto,Unsecured,0
39,16803.23,9904.35,12,8.8,0.0208,0.3791,2,Rented,Home,Unsecured,0
29,22638.68,12300.32,36,12.7,0.0486,0.0477,3,Rented,Personal,Secured,0
48,18371.0,11433.16,6,16.5,0.3771,0.0644,5,Mortgage,Personal,Unsecured,0
40,16758.81,13578.7,6,2.7,0.0193,0.2675,3,Rented,Auto,Secured,0
27,18224.72,12391.75,18,14.3,0.0891,0.1909,2,Mortgage,Home,Secured,0
34,19964.27,13703.43,24,1.0,0.2188,0.2868,2,Rented,Auto,Unsecured,0
29,17384.85,12834.35,6,0.6,0.1946,0.3611,6,Rented,Personal,Unsecured,0
39,11229.77,11883.86,12,7.1,0.2941,0.1337,3,Rented,Home,Unsecured,1
34,4377.41,12797.72,60,12.9,0.2224,0.0722,4,Rented,Personal,Secured,1
58,16367.78,10192.32,6,33.7,0.0631,0.5131,3,Rented,Home,Unsecured,1
56,18459.86,9921.56,24,5.6,0.1405,0.339,5,Owned,Auto,Unsecured,0
60,18372.64,12492.0,12,5.4,0.0332,0.407,3,Rented,Personal,Unsecured,0
37,25623.37,1954.87,24,9.1,0.0675,0.2214,5,Owned,Personal,Unsecured,0
50,27044.85,10145.81,36,27.4,0.2806,0.3621,5,Owned,Education,Unsecured,0
29,17167.82,8469.14,24,11.6,0.0204,0.4394,5,Owned,Personal,Unsecured,0
53,17225.08,7851.42,24,16.4,0.2071,0.3333,4,Owned,Home,Unsecured,0
45,22585.03,10423.88,24,7.3,0.0867,0.3754,4,Rented,Personal,Unsecured,0
34,21412.39,5298.33,12,11.5,0.1958,0.2666,2,Owned,Education,Unsecured,0
31,14459.53,10447.75,24,1.3,0.1048,0.3231,1,Mortgage,Personal,Secured,0
55,23272.11,13156.63,24,6.1,0.0249,0.2418,4,Rented,Auto,Secured,0
61,16829.0,17252.1,60,20.7,0.4605,0.2585,7,Rented,Education,Secured,1
34,16999.11,22995.87,60,1.8,0.1861,0.5703,7,Rented,Personal,Unsecured,0
50,21468.91,2857.25,48,15.6,0.0926,0.3017,4,Rented,Personal,Unsecured,0
61,15590.67,7330.43,48,25.5,0.1105,0.1832,2,Rented,Auto,Unsecured,0
24,18757.38,10446.47,60,25.0,0.0615,0.0491,2,Owned,Home,Secured,0
24,20380.35,12691.35,18,34.1,0.0603,0.2565,2,Rented,Personal,Unsecured,1
48,24537.43,13822.69,12,1.9,0.0146,0.1728,7,Owned,Personal,Unsecured,0
28,23985.12,8949.39,48,26.6,0.2448,0.0546,3,Owned,Personal,Secured,0
22,20136.36,1000.0,24,12.2,0.0078,0.7197,5,Owned,Home,Unsecured,0
61,3000.0,17173.02,6,70.6,0.0257,0.2083,7,Rented,Home,Unsecured,1
42,19946.81,14513.33,24,27.4,0.2473,0.0921,4,Rented,Education,Unsecured,0
61,21183.09,15566.17,6,11.2,0.0229,0.032,6,Rented,Education,Unsecured,0
36,22807.43,10926.74,60,24.2,0.0659,0.1647,5,Owned,Personal,Secured,0
49,10351.8,13755.81,60,3.1,0.0838,0.4237,1,Rented,Personal,Secured,0
50,3000.0,2001.72,36,15.9,0.2035,0.0866,2,Rented,Education,Secured,0
32,24449.36,6648.13,36,7.5,0.0073,0.29,1,Rented,Home,Unsecured,0
55,8203.79,17971.29,60,16.1,0.0806,0.621,6,Rented,Auto,Unsecured,0
31,27777.36,12154.57,60,22.9,0.0382,0.22,6,Rented,Education,Unsecured,0
41,13370.78,21346.41,12,12.5,0.0287,0.1842,6,Owned,Personal,Secured,0
41,9782.62,7126.47,12,8.1,0.0249,0.2642,7,Rented,Home,Unsecured,0
25,20796.98,24760.74,60,0.3,0.0166,0.1819,2,Owned,Personal,Secured,0
40,22929.41,25476.89,36,7.6,0.1696,0.4417,2,Owned,Home,Unsecured,0
57,22452.62,8775.4,12,2.1,0.1992,0.0583,1,Rented,Education,Unsecured,0
23,22012.88,9727.83,60,20.3,0.1586,0.1303,5,Rented,Home,Secured,0
64,12337.68,18260.01,6,10.4,0.059,0.1004,6,Rented,Personal,Secured,0
53,5784.72,9186.11,6,2.8,0.0189,0.2116,1,Rented,Education,Secured,1
29,14882.68,10671.96,18,5.0,0.4493,0.5106,3,Owned,Personal,Unsecured,1
29,8834.34,8333.98,12,3.9,0.101,0.237,4,Mortgage,Personal,Unsecured,0
